metro_title,primary_state,region,population,median_income,unemployment_rate,recent_unemployment_change,opportunity_score,annual_payroll_per_employee,establishments_per_10k,industry_entropy,median_income_norm,inverse_unemployment_norm,annual_payroll_per_employee_norm,establishments_per_10k_norm,industry_entropy_norm,business_key,business_type,sector_code,sector_label,market_strength_probability,momentum_score,sector_employment_share,sector_establishments,sector_establishments_per_10k,sector_employment_share_norm,sector_establishments_per_10k_norm,category_fit_score,business_feasibility_score,whitespace_opportunity_score,business_feasibility_rank,business_feasibility_percentile,feasibility_band,entry_strategy,strategy_guidance,strength_1,strength_2,strength_3,risk_1,risk_2,factor_summary,recommendation_summary
"San Jose-Sunnyvale-Santa Clara, CA",CA,West,1995484,164801,4.2,0.6000000000000001,0.7228693742998267,180.1413514796912,252.17942113291812,2.5559449797998663,1.0,0.8502994011976048,1.0,0.3234659797499566,0.5871930161343396,retail,Retail Store,44,Retail Trade,1.0,51.99999999999999,0.06804209446710958,4376,21.929516849045143,0.0,0.08136218607497357,0.03254487442998943,70.97634623289967,80.84724829306249,32,91.96891191709845,High,White-Space Opportunity,Strong overall market with room for category expansion.,Affluent demand,Payroll efficiency,Low unemployment,Category demand footprint,Category location density,"Affluent demand, Payroll efficiency, and Low unemployment","White-Space Opportunity: strongest signals are affluent demand and payroll efficiency, while the main watchout is category demand footprint."
"Midland, TX",TX,South,188071,89627,2.9,0.10000000000000009,0.6174697802098946,88.361703167297,331.15153319756905,2.6537894250969805,0.33752225179336237,0.9281437125748502,0.37796274509704925,0.5105848363507564,0.928626343788809,education,Education / Childcare Services,61,Educational Services,0.96,71.99999999999999,0.010710760600818943,52,2.7649132508467544,0.02143524579375019,0.21803054361149246,0.1000733649208471,70.2022009476254,78.15677171864984,15,96.37305699481865,High,White-Space Opportunity,Strong overall market with room for category expansion.,Economic diversity,Low unemployment,Recent labor momentum,Category demand footprint,Category location density,"Economic diversity, Low unemployment, and Recent labor momentum","White-Space Opportunity: strongest signals are economic diversity and low unemployment, while the main watchout is category demand footprint."
"Midland, TX",TX,South,188071,89627,2.9,0.10000000000000009,0.6174697802098946,88.361703167297,331.15153319756905,2.6537894250969805,0.33752225179336237,0.9281437125748502,0.37796274509704925,0.5105848363507564,0.928626343788809,technology,Technology / IT Services,51,Information,0.96,71.99999999999999,0.008580335590802037,68,3.615655789568833,0.036811955927674264,0.20057993135871874,0.10231914610009206,70.26957438300275,78.04473051002172,19,95.33678756476684,High,White-Space Opportunity,Strong overall market with room for category expansion.,Economic diversity,Low unemployment,Recent labor momentum,Category demand footprint,Category location density,"Economic diversity, Low unemployment, and Recent labor momentum","White-Space Opportunity: strongest signals are economic diversity and low unemployment, while the main watchout is category demand footprint."
"Midland, TX",TX,South,188071,89627,2.9,0.10000000000000009,0.6174697802098946,88.361703167297,331.15153319756905,2.6537894250969805,0.33752225179336237,0.9281437125748502,0.37796274509704925,0.5105848363507564,0.928626343788809,clinic,Health Clinic / Care Service,62,Health Care,0.96,71.99999999999999,0.07783869359992963,470,24.99056207496105,0.0,0.32648583542500453,0.13059433417000182,71.11783002510005,76.63409163085691,36,90.93264248704664,High,White-Space Opportunity,Strong overall market with room for category expansion.,Economic diversity,Low unemployment,Recent labor momentum,Category demand footprint,Category location density,"Economic diversity, Low unemployment, and Recent labor momentum","White-Space Opportunity: strongest signals are economic diversity and low unemployment, while the main watchout is category demand footprint."
"Bridgeport-Stamford-Danbury, CT",CT,Northeast,972679,116402,3.1,0.0,0.5698358800371669,99.26592255421856,276.51465694232115,2.568971814464969,0.5734793873486438,0.9161676646706587,0.451866173787615,0.38112660678293403,0.6326508394681475,construction,Construction / Trades,23,Construction,0.9456381623769406,75.99999999999999,0.035931217169668656,2288,23.522662666717384,0.11604140255772234,0.15505461536178605,0.13164668767934784,70.14407199676627,75.89766586833403,27,93.26424870466322,High,White-Space Opportunity,Strong overall market with room for category expansion.,Low unemployment,Recent labor momentum,Economic diversity,Category demand footprint,Category location density,"Low unemployment, Recent labor momentum, and Economic diversity","White-Space Opportunity: strongest signals are low unemployment and recent labor momentum, while the main watchout is category demand footprint."
"Rochester, MN",MN,Midwest,230742,90584,2.5,0.10000000000000009,0.5502519701434465,73.27920223243598,230.30050879337097,2.5520779882662072,0.3459559017924811,0.9520958083832335,0.275740981872825,0.27162543815099754,0.5736989462018094,technology,Technology / IT Services,51,Information,0.948791301410116,71.99999999999999,0.013813197636244254,75,3.25038354525834,0.07205344132271035,0.1675460251023984,0.11025047483458558,69.7229053437457,75.81791454088817,23,94.30051813471503,High,White-Space Opportunity,Strong overall market with room for category expansion.,Low unemployment,Recent labor momentum,Economic diversity,Category demand footprint,Category location density,"Low unemployment, Recent labor momentum, and Economic diversity","White-Space Opportunity: strongest signals are low unemployment and recent labor momentum, while the main watchout is category demand footprint."
"Odessa, TX",TX,South,170022,78058,3.5,0.10000000000000009,0.5278319304422926,72.00625037743825,234.910776252485,2.6368212801103614,0.2355693815323334,0.8922155688622754,0.2671135411267977,0.2825491421399077,0.8694151112112994,technology,Technology / IT Services,51,Information,0.9,71.99999999999999,0.009210049522889239,38,2.235004881721189,0.04105285777985112,0.07571883563370616,0.05491924892139313,64.6475774676418,75.48455142941,38,90.41450777202073,High,White-Space Opportunity,Strong overall market with room for category expansion.,Low unemployment,Economic diversity,Recent labor momentum,Category demand footprint,Category location density,"Low unemployment, Economic diversity, and Recent labor momentum","White-Space Opportunity: strongest signals are low unemployment and economic diversity, while the main watchout is category demand footprint."
"Odessa, TX",TX,South,170022,78058,3.5,0.10000000000000009,0.5278319304422926,72.00625037743825,234.910776252485,2.6368212801103614,0.2355693815323334,0.8922155688622754,0.2671135411267977,0.2825491421399077,0.8694151112112994,professional_services,Professional Services Firm,54,Professional Services,0.9,71.99999999999999,0.02204372508757096,253,14.880427238827915,0.02973416319931435,0.10669143464820359,0.06051707177887005,64.8155121533661,75.22238308794056,38,90.41450777202073,High,White-Space Opportunity,Strong overall market with room for category expansion.,Low unemployment,Economic diversity,Recent labor momentum,Category demand footprint,Category location density,"Low unemployment, Economic diversity, and Recent labor momentum","White-Space Opportunity: strongest signals are low unemployment and economic diversity, while the main watchout is category demand footprint."
"Odessa, TX",TX,South,170022,78058,3.5,0.10000000000000009,0.5278319304422926,72.00625037743825,234.910776252485,2.6368212801103614,0.2355693815323334,0.8922155688622754,0.2671135411267977,0.2825491421399077,0.8694151112112994,education,Education / Childcare Services,61,Educational Services,0.9,71.99999999999999,0.007307645850948182,33,1.9409252920210327,0.013763509103138593,0.1307053187498196,0.060540232961811005,64.81620698885433,75.2212983574886,34,91.45077720207254,High,White-Space Opportunity,Strong overall market with room for category expansion.,Low unemployment,Economic diversity,Recent labor momentum,Category demand footprint,Category location density,"Low unemployment, Economic diversity, and Recent labor momentum","White-Space Opportunity: strongest signals are low unemployment and economic diversity, while the main watchout is category demand footprint."
"Sioux Falls, SD-MN",SD,Midwest,308711,82509,1.7,0.0,0.5709494288976584,58.57170785941374,297.0415696233694,2.6010140371322676,0.2747942259900946,1.0,0.1760608284344958,0.4297636804283467,0.744463857340751,education,Education / Childcare Services,61,Educational Services,0.9133056922621753,75.99999999999999,0.0190941967882774,86,2.785776988834217,0.04033426029073961,0.22024165676150337,0.11229721887904512,67.30031502472362,75.21668521681663,27,93.26424870466322,High,White-Space Opportunity,Strong overall market with room for category expansion.,Low unemployment,Recent labor momentum,Economic diversity,Category demand footprint,Payroll efficiency,"Low unemployment, Recent labor momentum, and Economic diversity","White-Space Opportunity: strongest signals are low unemployment and recent labor momentum, while the main watchout is category demand footprint."
